date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,300000,305500,283000,305500,1483967,0.1485,4,39500,444233178500,45775746373500,149838777
2000-01-05,290000,303000,276000,279000,1493604,-0.0867,2,-26500,433783381000,41805018783000,149838777
2000-01-06,287500,289000,279000,281000,1087810,0.0072,1,2000,308005325000,42104696337000,149838777
2000-01-07,278000,283500,268000,277000,806195,-0.014199999999999999,2,-4000,222717840000,41505341229000,149838777
2000-01-10,280000,288500,279000,288500,937615,0.0415,1,11500,265754492500,43228487164500,149838777
2000-01-11,291000,305000,288500,288500,1194974,0.0,3,0,355643429000,43228487164500,149838777
2000-01-12,280500,287000,280000,286000,584492,-0.0087,2,-2500,165910592000,42853890222000,149838777
2000-01-13,280000,287000,278000,285500,823830,-0.0017000000000000001,2,-500,232594770000,42778970833500,149838777
2000-01-14,286000,294000,284000,291500,987576,0.021,1,6000,286306579000,43678003495500,149838777
2000-01-17,300000,309000,296000,305000,1270138,0.0463,1,13500,384515815000,45700826985000,149838777
2000-01-18,308000,308000,299000,305000,905231,0.0,3,0,274619195000,45788937825000,150127665
2000-01-19,300000,302000,298000,298000,804159,-0.023,2,-7000,240922307000,44738044170000,150127665
2000-01-20,293000,302000,291000,302000,746360,0.0134,1,4000,220705545000,45338554830000,150127665
2000-01-21,297500,299000,294000,294000,650728,-0.0265,2,-8000,192644672000,44137533510000,150127665
2000-01-24,290000,295000,285000,285000,687183,-0.030600000000000002,2,-9000,199480775000,42786384525000,150127665
2000-01-25,276000,282000,272000,272000,885067,-0.045599999999999995,2,-13000,244837929000,40834724880000,150127665
2000-01-26,275000,276000,270500,274000,585734,0.0074,1,2000,160194206000,41134980210000,150127665
2000-01-27,274000,281000,271500,276000,558083,0.0073,1,2000,154449013000,41435235540000,150127665
2000-01-28,282000,294000,277000,291000,766398,0.054299999999999994,1,15000,218028318000,43687150515000,150127665
2000-01-31,282000,286500,278000,279000,792689,-0.0412,2,-12000,223323631000,41885618535000,150127665
2000-02-01,280000,284000,263000,266000,1429402,-0.0466,2,-13000,386257967000,39933958890000,150127665
2000-02-02,261000,268500,255500,262500,1282143,-0.0132,2,-3500,335283427500,39408512062500,150127665
2000-02-03,262500,273000,248500,256500,2855355,-0.0229,2,-6000,737977152500,38507746072500,150127665
2000-02-07,257000,266500,252000,262000,1282835,0.021400000000000002,1,5500,334235680000,39333448230000,150127665
2000-02-08,267000,274000,265500,271500,1169244,0.0363,1,9500,315930471000,40788718606500,150234691
2000-02-09,278000,286000,274000,286000,1021023,0.053399999999999996,1,14500,286111628000,42967121626000,150234691
2000-02-10,283000,294000,280000,288000,1236979,0.006999999999999999,1,2000,354768847000,43267591008000,150234691
2000-02-11,298000,298000,284000,285000,693257,-0.0104,2,-3000,200367240000,42816886935000,150234691
2000-02-14,280000,283000,267000,269000,882889,-0.056100000000000004,2,-16000,241543141000,40413131879000,150234691
2000-02-15,269000,271000,257000,260000,766393,-0.0335,2,-9000,199764900000,39061019660000,150234691
2000-02-16,259000,260000,239000,250000,1462389,-0.0385,2,-10000,364471645000,37558672750000,150234691
2000-02-17,247000,255000,245500,254000,1303738,0.016,1,4000,327533342000,38159611514000,150234691
