Time,open,high,low,close,volume,change
1980-01-04,,,,100.0,95900,
1980-01-05,,,,100.15,131100,
1980-01-07,,,,102.53,358300,
1980-01-08,,,,105.28,795800,
1980-01-09,,,,106.37,552300,
1980-01-10,,,,106.87,822200,
1980-01-11,,,,105.02,1048100,
1980-01-12,,,,103.64,473600,
1980-01-14,,,,102.08,674800,
1980-01-15,,,,101.1,377300,
1980-01-16,,,,101.65,409800,
1980-01-17,,,,101.97,689700,
1980-01-18,,,,101.13,405400,
1980-01-19,,,,101.15,263300,
1980-01-21,,,,101.75,376500,
1980-01-22,,,,101.64,328900,
1980-01-23,,,,101.43,389700,
1980-01-24,,,,100.7,426200,
1980-01-25,,,,103.17,482800,
1980-01-26,,,,102.83,472700,
1980-01-28,,,,101.87,492100,
1980-01-29,,,,102.58,458300,
1980-01-30,,,,104.65,943400,
1980-01-31,,,,105.89,1245600,
1980-02-01,,,,104.48,757300,
1980-02-02,,,,105.3,324300,
1980-02-04,,,,105.0,594900,
1980-02-05,,,,104.45,510400,
1980-02-06,,,,104.04,410600,
1980-02-07,,,,104.71,499200,
1980-02-08,,,,104.03,298200,
1980-02-09,,,,103.97,287000,
1980-02-11,,,,103.76,293800,
1980-02-12,,,,103.8,273000,
1980-02-13,,,,104.02,266600,
1980-02-14,,,,104.34,280500,
1980-02-15,,,,104.9,360100,
1980-02-16,,,,106.08,283800,
1980-02-18,,,,105.27,275600,
1980-02-19,,,,105.1,382700,
1980-02-20,,,,105.06,302900,
1980-02-21,,,,104.61,265800,
1980-02-22,,,,104.39,255400,
1980-02-23,,,,104.69,208500,
1980-02-25,,,,104.32,348800,
1980-02-26,,,,103.69,301900,
1980-02-27,,,,103.5,275000,
1980-02-28,,,,103.46,240400,
1980-02-29,,,,103.74,256800,
1980-03-03,,,,103.96,243100,
1980-03-04,,,,103.85,238300,
1980-03-05,,,,102.86,322000,
1980-03-06,,,,102.76,303800,
1980-03-07,,,,103.57,665700,
1980-03-08,,,,103.89,909500,
1980-03-11,,,,103.35,302000,
1980-03-12,,,,103.13,229800,
1980-03-13,,,,103.26,310600,
1980-03-14,,,,103.08,254300,
1980-03-15,,,,104.16,199700,
1980-03-17,,,,103.58,195600,
1980-03-18,,,,103.41,250200,
1980-03-19,,,,103.13,276800,
1980-03-20,,,,104.68,534600,
1980-03-21,,,,104.43,542100,
1980-03-22,,,,104.58,274700,
1980-03-24,,,,107.09,754300,
1980-03-25,,,,106.47,734900,
1980-03-26,,,,107.22,858800,
1980-03-27,,,,106.37,602400,
1980-03-28,,,,105.33,642500,
1980-03-29,,,,104.9,332400,
1980-03-31,,,,105.0,403700,
1980-04-01,,,,105.43,361900,
1980-04-02,,,,105.74,563700,
1980-04-03,,,,106.78,840700,
1980-04-04,,,,107.4,999000,
1980-04-07,,,,109.43,1039200,
1980-04-08,,,,109.51,1238800,
1980-04-09,,,,110.07,1178300,
1980-04-10,,,,111.14,2100800,
1980-04-11,,,,112.02,1790900,
1980-04-12,,,,111.68,909400,
1980-04-14,,,,111.54,1238600,
1980-04-15,,,,110.79,948600,
1980-04-16,,,,110.48,1179200,
1980-04-17,,,,109.89,938900,
1980-04-18,,,,111.85,1195100,
1980-04-19,,,,114.68,1018600,
1980-04-21,,,,115.99,1898900,
1980-04-22,,,,115.04,1719400,
1980-04-23,,,,117.26,1607000,
1980-04-24,,,,116.89,2042300,
1980-04-25,,,,118.03,2341700,
1980-04-26,,,,118.21,1375200,
1980-04-28,,,,117.34,1655400,
1980-04-29,,,,117.27,1352900,
1980-04-30,,,,116.09,1227600,
1980-05-01,,,,116.54,1002400,
1980-05-02,,,,118.58,1469400,
1980-05-03,,,,118.33,958600,
1980-05-06,,,,119.3,1326900,
1980-05-07,,,,119.23,1520500,
1980-05-08,,,,119.36,2095700,
1980-05-09,,,,116.42,1188700,
1980-05-10,,,,116.43,664400,
1980-05-12,,,,115.47,880600,
1980-05-13,,,,112.85,1049000,
1980-05-14,,,,112.27,1118800,
1980-05-15,,,,114.53,1038200,
1980-05-16,,,,114.91,1063800,
1980-05-17,,,,115.03,448100,
1980-05-19,,,,111.09,941900,
1980-05-20,,,,109.47,861600,
1980-05-22,,,,109.66,689800,
1980-05-23,,,,112.59,802400,
1980-05-24,,,,113.84,562300,
1980-05-26,,,,111.55,398200,
1980-05-27,,,,113.59,669700,
1980-05-28,,,,114.19,731000,
1980-05-29,,,,115.72,983400,
1980-05-30,,,,115.69,1094600,
1980-05-31,,,,116.43,504200,
1980-06-02,,,,116.77,763300,
1980-06-03,,,,116.3,715100,
1980-06-04,,,,115.43,447600,
1980-06-05,,,,114.05,510700,
1980-06-07,,,,113.43,283500,
1980-06-09,,,,111.98,463300,
1980-06-10,,,,112.52,601700,
1980-06-11,,,,112.64,1285400,
1980-06-12,,,,112.11,330800,
1980-06-13,,,,112.44,330700,
1980-06-14,,,,112.87,290900,
1980-06-16,,,,113.11,322700,
1980-06-17,,,,115.09,639200,
1980-06-18,,,,114.44,594500,
1980-06-19,,,,113.26,289500,
1980-06-20,,,,113.49,347400,
1980-06-21,,,,112.77,152100,
1980-06-23,,,,112.53,231600,
1980-06-24,,,,112.46,233600,
1980-06-25,,,,111.78,209900,
1980-06-26,,,,111.65,341200,
1980-06-27,,,,111.89,366000,
1980-06-28,,,,113.12,375900,
1980-06-30,,,,112.62,280100,
1980-07-01,,,,112.05,186800,
1980-07-02,,,,112.44,338200,
1980-07-03,,,,112.33,287300,
1980-07-04,,,,112.42,412300,
1980-07-05,,,,111.92,288700,
1980-07-07,,,,112.48,371900,
1980-07-08,,,,112.09,398200,
1980-07-09,,,,111.92,424100,
1980-07-10,,,,111.36,342900,
1980-07-11,,,,110.89,308600,
1980-07-12,,,,111.01,235500,
1980-07-14,,,,110.4,207600,
1980-07-15,,,,109.94,320300,
1980-07-16,,,,109.82,432500,
1980-07-18,,,,110.02,292800,
1980-07-19,,,,110.88,225300,
1980-07-21,,,,110.22,199100,
1980-07-22,,,,109.91,250000,
1980-07-23,,,,110.42,324700,
1980-07-24,,,,111.29,423500,
1980-07-25,,,,110.96,569500,
1980-07-26,,,,111.32,177200,
1980-07-28,,,,111.27,372100,
1980-07-29,,,,111.49,453400,
1980-07-30,,,,112.75,514300,
1980-07-31,,,,112.71,492400,
1980-08-01,,,,112.28,242500,
1980-08-02,,,,112.15,166400,
1980-08-04,,,,111.5,190800,
1980-08-05,,,,111.38,210100,
1980-08-06,,,,111.81,282900,
1980-08-07,,,,111.84,346900,
1980-08-08,,,,111.47,381800,
1980-08-09,,,,111.66,277800,
1980-08-11,,,,110.98,257300,
1980-08-12,,,,109.12,436900,
1980-08-13,,,,108.65,445800,
1980-08-14,,,,106.99,366400,
1980-08-16,,,,107.2,232200,
1980-08-18,,,,109.22,431700,
1980-08-19,,,,110.61,662200,
1980-08-20,,,,110.13,1061300,
1980-08-21,,,,111.11,863900,
1980-08-22,,,,112.68,1056500,
1980-08-23,,,,111.9,433500,
1980-08-25,,,,112.52,684900,
1980-08-26,,,,113.81,1042000,
1980-08-27,,,,112.74,787600,
1980-08-28,,,,112.21,610400,
1980-08-29,,,,112.02,629500,
1980-08-30,,,,112.65,392800,
1980-09-02,,,,112.55,399000,
1980-09-03,,,,113.27,716500,
1980-09-04,,,,112.5,421300,
1980-09-05,,,,113.27,547200,
1980-09-06,,,,113.72,320400,
1980-09-08,,,,113.07,447100,
1980-09-09,,,,112.49,313400,
1980-09-10,,,,112.48,453000,
1980-09-11,,,,111.5,527800,
1980-09-12,,,,111.29,418800,
1980-09-13,,,,112.12,233000,
1980-09-15,,,,111.33,285800,
1980-09-16,,,,110.79,431300,
1980-09-17,,,,110.25,408400,
1980-09-18,,,,110.55,387100,
1980-09-19,,,,111.09,550900,
1980-09-20,,,,110.64,338000,
1980-09-22,,,,111.31,364500,
1980-09-24,,,,110.38,430600,
1980-09-25,,,,109.52,483400,
1980-09-26,,,,110.62,539700,
1980-09-27,,,,111.47,427100,
1980-09-29,,,,110.86,332800,
1980-09-30,,,,110.35,370200,
1980-10-02,,,,109.85,388000,
1980-10-04,,,,108.95,218300,
1980-10-06,,,,108.77,306200,
1980-10-07,,,,108.6,281300,
1980-10-08,,,,107.96,323100,
1980-10-10,,,,107.07,331900,
1980-10-11,,,,109.34,277900,
1980-10-13,,,,110.46,468100,
1980-10-14,,,,110.95,408500,
1980-10-15,,,,110.51,552800,
1980-10-16,,,,111.71,722700,
1980-10-17,,,,110.43,614900,
1980-10-18,,,,110.26,316400,
1980-10-20,,,,109.07,353000,
1980-10-21,,,,109.38,428700,
1980-10-23,,,,109.32,432200,
1980-10-24,,,,109.42,466300,
1980-10-25,,,,108.89,299300,
1980-10-27,,,,107.2,432300,
1980-10-28,,,,106.66,563600,
1980-10-29,,,,106.6,462100,
1980-10-30,,,,105.88,405200,
