Date,Open,High,Low,Close,Volume
2020-01-01,78000,82000,76000,80500,8000000
2020-02-01,80500,84000,78500,81200,8500000
2020-03-01,81200,82000,65000,67800,12000000
2020-04-01,67800,72000,66500,70400,9500000
2020-05-01,70400,75000,69500,73200,9000000
2020-06-01,73200,78000,72500,76500,9200000
2020-07-01,76500,82000,75500,79800,10000000
2020-08-01,79800,85000,78500,83200,11000000
2020-09-01,83200,87000,81500,84800,10500000
2020-10-01,84800,88000,83000,86200,10200000
2020-11-01,86200,92000,85500,90400,11500000
2020-12-01,90400,95000,89000,93200,12000000
