Date,Open,High,Low,Close,Volume
2020-01-01,56000,58000,55000,57400,15000000
2020-02-01,57400,59000,55500,56800,16000000
2020-03-01,56800,57000,44000,45500,25000000
2020-04-01,45500,48000,44500,47200,18000000
2020-05-01,47200,50000,46500,49800,17000000
2020-06-01,49800,52000,49000,51000,16500000
2020-07-01,51000,54000,50500,53200,18000000
2020-08-01,53200,56000,52500,55400,19000000
2020-09-01,55400,56000,52000,53800,17500000
2020-10-01,53800,56000,53000,55200,16800000
2020-11-01,55200,58000,54500,57600,18500000
2020-12-01,57600,62000,57000,60800,20000000
2021-01-01,60800,64000,60000,62500,21000000
2021-02-01,62500,65000,61500,63200,19500000
2021-03-01,63200,66000,62000,64800,20500000
2021-04-01,64800,68000,64000,66500,21500000
2021-05-01,66500,70000,65500,68200,22000000
2021-06-01,68200,72000,67500,70400,23000000
2021-07-01,70400,75000,69500,73200,24000000
2021-08-01,73200,77000,72000,75800,25000000
2021-09-01,75800,78000,73500,76200,23500000
2021-10-01,76200,79000,75000,77800,22800000
2021-11-01,77800,81000,76500,79400,24500000
2021-12-01,79400,83000,78000,81200,26000000
