Date,Open,High,Low,Close,Volume
2020-01-01,125000,132000,123000,128500,2500000
2020-02-01,128500,135000,126000,131200,2700000
2020-03-01,131200,133000,95000,102800,4200000
2020-04-01,102800,115000,100000,112400,3100000
2020-05-01,112400,125000,110000,121800,2900000
2020-06-01,121800,135000,119000,132400,3200000
2020-07-01,132400,148000,130000,145200,3800000
2020-08-01,145200,162000,142000,158800,4200000
2020-09-01,158800,168000,152000,163400,3900000
2020-10-01,163400,172000,160000,168600,3700000
2020-11-01,168600,185000,165000,181200,4100000
2020-12-01,181200,195000,176000,189800,4500000
