,open,high,low,close,volume,change
1998-10-20,713,732,703,731,385900,
1998-10-21,731,784,731,740,800300,0.0123119015047878
1998-10-22,736,761,733,734,368700,-0.0081081081081081
1998-10-23,741,741,705,720,314700,-0.0190735694822887
1998-10-24,707,731,701,715,253700,-0.0069444444444444
1998-10-26,710,710,694,709,332700,-0.0083916083916083
1998-10-27,710,716,679,700,326400,-0.0126939351198871
1998-10-28,701,710,690,700,281200,0.0
1998-10-29,690,732,690,716,202600,0.0228571428571429
1998-10-30,732,784,717,773,795100,0.079608938547486
1998-10-31,784,793,768,779,899700,0.0077619663648125
1998-11-02,816,816,785,785,585400,0.0077021822849807
1998-11-03,800,847,785,815,1087600,0.0382165605095541
1998-11-04,850,912,850,912,1666000,0.1190184049079754
1998-11-05,982,993,920,942,2022100,0.0328947368421053
1998-11-06,946,951,888,940,1530400,-0.0021231422505307
1998-11-07,910,910,888,909,170200,-0.0329787234042553
1998-11-09,920,920,890,899,344100,-0.0110011001100109
1998-11-10,887,927,856,867,760900,-0.0355951056729699
1998-11-11,856,887,836,840,396600,-0.0311418685121107
1998-11-12,848,857,825,847,580300,0.0083333333333333
1998-11-13,840,866,836,858,516600,0.0129870129870128
1998-11-14,858,888,858,876,460500,0.020979020979021
1998-11-16,888,899,857,874,1111900,-0.002283105022831
1998-11-17,899,962,883,884,4659800,0.011441647597254
1998-11-18,896,896,847,856,1659800,-0.0316742081447963
1998-11-19,817,868,817,861,925800,0.0058411214953271
1998-11-20,888,888,841,841,1176000,-0.0232288037166086
1998-11-21,840,856,831,836,559100,-0.0059453032104637
1998-11-23,835,887,831,882,1564900,0.055023923444976
1998-11-24,895,898,863,872,1051800,-0.0113378684807256
1998-11-25,888,915,857,901,1686500,0.033256880733945
1998-11-26,910,911,848,863,1062600,-0.0421753607103219
1998-11-27,868,870,839,846,522100,-0.0196987253765932
1998-11-28,840,909,840,888,768800,0.0496453900709219
1998-11-30,941,995,893,951,3974400,0.070945945945946
1998-12-01,957,957,899,902,1041900,-0.0515247108307045
1998-12-02,918,918,873,888,824400,-0.015521064301552
1998-12-03,898,995,888,888,1318400,0.0
