date,open,high,low,close,volume,change,updown,comp,amount,marcap,shares
2000-01-04,7017,7953,7017,7672,58090,0.025,1.0,187.0,454532000.0,24600000000.0,3000000.0
2000-01-05,7485,7485,7167,7392,37730,-0.0366,2.0,-280.0,295659200.0,23700000000.0,3000000.0
2000-01-06,7672,7766,6933,6933,33630,-0.062,2.0,-459.0,259216000.0,22230000000.0,3000000.0
2000-01-07,6971,7766,6830,7429,44790,0.0715,1.0,496.0,349770300.0,23820000000.0,3000000.0
2000-01-10,7626,7766,7167,7251,34700,-0.0239,2.0,-178.0,275509700.0,23250000000.0,3000000.0
2000-01-11,7036,7392,7036,7120,20410,-0.0181,2.0,-131.0,157479700.0,22830000000.0,3000000.0
2000-01-12,7205,7392,6971,7242,45290,0.0171,1.0,122.0,347844900.0,23220000000.0,3000000.0
2000-01-13,7186,7186,6849,7017,46810,-0.031,2.0,-225.0,349597300.0,22500000000.0,3000000.0
2000-01-14,7017,7859,6877,7579,111480,0.08,1.0,562.0,890061400.0,24300000000.0,3000000.0
2000-01-17,7672,8711,7532,8711,308040,0.1494,4.0,1132.0,2797038000.0,27930000000.0,3000000.0
2000-01-18,8898,9263,7972,8187,309310,-0.0602,2.0,-524.0,2867106500.0,26250000000.0,3000000.0
2000-01-19,8234,9403,8234,9403,452590,0.1485999999999999,4.0,1216.0,4405099100.0,30150000000.0,3000000.0
2000-01-20,9824,10479,8019,8093,1175270,-0.1393,2.0,-1310.0,12139079700.0,25950000000.0,3000000.0
2000-01-21,8402,8982,8047,8159,278710,0.0081,1.0,66.0,2527017700.0,26160000000.0,3000000.0
2000-01-24,8337,8842,7859,8047,178290,-0.0138,2.0,-112.0,1562576700.0,25800000000.0,3000000.0
2000-01-25,8252,9169,8140,8412,377830,0.0453,1.0,365.0,3515663600.0,26970000000.0,3000000.0
2000-01-26,8842,8889,8243,8421,159130,0.0011,1.0,9.0,1451843600.0,27000000000.0,3000000.0
2000-01-27,7962,8842,7962,8702,152260,0.0333,1.0,281.0,1399672800.0,27900000000.0,3000000.0
2000-01-28,8561,9590,8477,8889,219680,0.0215,1.0,187.0,2119380700.0,28500000000.0,3000000.0
2000-01-31,8795,8982,8514,8608,103980,-0.0316,2.0,-281.0,966836500.0,27600000000.0,3000000.0
2000-02-01,8889,9169,8327,9076,128800,0.0542999999999999,1.0,468.0,1200975600.0,29100000000.0,3000000.0
2000-02-02,9179,10433,9104,10433,451990,0.1495,4.0,1357.0,4923204700.0,33450000000.0,3000000.0
2000-02-03,10620,10947,9731,9871,309720,-0.0538,2.0,-562.0,3419945500.0,31650000000.0,3000000.0
2000-02-07,10292,10292,9450,9778,151070,-0.0095,2.0,-93.0,1591025000.0,31350000000.0,3000000.0
2000-02-08,9637,11228,9263,11228,410270,0.1483,4.0,1450.0,4536293200.0,36000000000.0,3000000.0
2000-02-09,11602,11976,10526,10526,415930,-0.0625,2.0,-702.0,5039080500.0,33750000000.0,3000000.0
2000-02-10,10620,11321,10339,10479,238390,-0.0044,2.0,-47.0,2732695500.0,33600000000.0,3000000.0
2000-02-11,10573,11041,9684,9684,151600,-0.0759,2.0,-795.0,1681941500.0,31050000000.0,3000000.0
2000-02-14,9403,9544,8421,8421,115910,-0.1304,2.0,-1263.0,1113625900.0,27000000000.0,3000000.0
2000-02-15,8262,9029,7775,8000,96790,-0.05,2.0,-421.0,877147500.0,25650000000.0,3000000.0
2000-02-16,8140,8355,7859,8065,63940,0.0081999999999999,1.0,65.0,555252800.0,25860000000.0,3000000.0
