ticker_code,company_name,last_update,status
005930,삼성전자,2026-02-09,EXISTING
000660,SK하이닉스,,
005380,현대차,2026-02-09,EXISTING
005935,삼성전자우,2026-02-09,EXISTING
373220,LG에너지솔루션,,
207940,삼성바이오로직스,2026-02-09,EXISTING
402340,SK스퀘어,2026-02-09,EXISTING
012450,한화에어로스페이스,,
034020,두산에너빌리티,2026-02-09,EXISTING
000270,기아,2026-02-09,EXISTING
105560,KB금융,2026-02-09,EXISTING
329180,HD현대중공업,2026-02-09,EXISTING
068270,셀트리온,2026-02-09,EXISTING
028260,삼성물산,2026-02-09,EXISTING
055550,신한지주,2026-02-09,EXISTING
042660,한화오션,2026-02-09,EXISTING
015760,한국전력,2026-02-09,EXISTING
035420,NAVER,2026-02-09,EXISTING
012330,현대모비스,2026-02-09,EXISTING
032830,삼성생명,2026-02-09,EXISTING
010130,고려아연,2026-02-09,EXISTING
267260,HD현대일렉트릭,2026-02-09,EXISTING
086790,하나금융지주,2026-02-09,EXISTING
006400,삼성SDI,2026-02-09,EXISTING
006800,미래에셋증권,2026-02-09,EXISTING
005490,POSCO홀딩스,2026-02-09,EXISTING
009540,HD한국조선해양,2026-02-09,EXISTING
035720,카카오,2026-02-09,EXISTING
316140,우리금융지주,2026-02-09,EXISTING
010140,삼성중공업,2026-02-09,EXISTING
000810,삼성화재,2026-02-09,EXISTING
034730,SK,2026-02-09,EXISTING
064350,현대로템,2026-02-09,EXISTING
009150,삼성전기,2026-02-09,EXISTING
298040,효성중공업,2026-02-09,EXISTING
051910,LG화학,2026-02-09,EXISTING
086520,에코프로,2026-02-09,EXISTING
138040,메리츠금융지주,2026-02-09,EXISTING
196170,알테오젠,2026-02-09,EXISTING
003670,포스코퓨처엠,2026-02-09,EXISTING
247540,에코프로비엠,2026-02-09,EXISTING
033780,KT&G,2026-02-09,EXISTING
272210,한화시스템,2026-02-09,EXISTING
267250,HD현대,2026-02-09,EXISTING
010120,LS ELECTRIC,2026-02-09,EXISTING
011200,HMM,2026-02-09,EXISTING
042700,한미반도체,,
024110,기업은행,2026-02-09,EXISTING
096770,SK이노베이션,,
086280,현대글로비스,2026-02-09,EXISTING
066570,LG전자,2026-02-09,EXISTING
352820,하이브,2026-02-09,EXISTING
047810,한국항공우주,2026-02-09,EXISTING
017670,SK텔레콤,2026-02-09,EXISTING
0126Z0,삼성에피스홀딩스,,
030200,KT,2026-02-09,EXISTING
000150,두산,2026-02-09,EXISTING
003550,LG,2026-02-09,EXISTING
277810,레인보우로보틱스,2026-02-09,EXISTING
018260,삼성에스디에스,2026-02-09,EXISTING
000250,삼천당제약,2026-02-09,EXISTING
000720,현대건설,2026-02-09,EXISTING
323410,카카오뱅크,2026-02-09,EXISTING
071050,한국금융지주,2026-02-09,EXISTING
039490,키움증권,2026-02-09,EXISTING
005830,DB손해보험,2026-02-09,EXISTING
307950,현대오토에버,2026-02-09,EXISTING
047050,포스코인터내셔널,2026-02-09,EXISTING
010950,S-Oil,2026-02-09,EXISTING
259960,크래프톤,2026-02-09,EXISTING
298380,에이비엘바이오,2026-02-09,EXISTING
278470,에이피알,2026-02-09,EXISTING
079550,LIG넥스원,,
090430,아모레퍼시픽,2026-02-09,EXISTING
005940,NH투자증권,2026-02-09,EXISTING
000880,한화,2026-02-09,EXISTING
003490,대한항공,2026-02-09,EXISTING
005387,현대차2우B,2026-02-09,EXISTING
377300,카카오페이,2026-02-09,EXISTING
161390,한국타이어앤테크놀로지,2026-02-09,EXISTING
326030,SK바이오팜,2026-02-09,EXISTING
000100,유한양행,2026-02-09,EXISTING
007660,이수페타시스,2026-02-09,EXISTING
016360,삼성증권,2026-02-09,EXISTING
003230,삼양식품,2026-02-09,EXISTING
009830,한화솔루션,2026-02-09,EXISTING
950160,코오롱티슈진,2026-02-09,EXISTING
180640,한진칼,2026-02-09,EXISTING
443060,HD현대마린솔루션,2026-02-09,EXISTING
058470,리노공업,2026-02-09,EXISTING
128940,한미약품,2026-02-09,EXISTING
006260,LS,2026-02-09,EXISTING
028300,HLB,2026-02-09,EXISTING
029780,삼성카드,2026-02-09,EXISTING
032640,LG유플러스,2026-02-09,EXISTING
064400,LG씨엔에스,2026-02-09,EXISTING
454910,두산로보틱스,2026-02-09,EXISTING
078930,GS,2026-02-09,EXISTING
141080,리가켐바이오,2026-02-09,EXISTING
028050,삼성E&A,2026-02-09,EXISTING
214370,케어젠,2026-02-09,EXISTING
001040,CJ,2026-02-09,EXISTING
087010,펩트론,2026-02-09,EXISTING
138930,BNK금융지주,2026-02-09,EXISTING
022100,포스코DX,2026-02-09,EXISTING
021240,코웨이,2026-02-09,EXISTING
267270,HD건설기계,2026-02-09,EXISTING
001440,대한전선,2026-02-09,EXISTING
241560,두산밥캣,2026-02-09,EXISTING
