Date,Open,High,Low,Close,Volume
2020-01-01,50000,52000,49000,51500,1000000
2020-02-01,51500,54000,51000,53200,1200000
2020-03-01,53200,53500,48000,49500,1500000
2020-04-01,49500,52000,48500,51000,1100000
2020-05-01,51000,55000,50500,54500,1300000
2020-06-01,54500,56000,53000,55200,1250000
2020-07-01,55200,57500,54000,56800,1400000
2020-08-01,56800,60000,56000,58500,1600000
2020-09-01,58500,59000,55000,56200,1350000
2020-10-01,56200,58000,54500,57000,1280000
2020-11-01,57000,62000,56500,60500,1700000
2020-12-01,60500,63000,59000,61800,1550000
